"filename", "language", "TOML", "Rust", "comment", "blank", "total"
"/home/rasmus/rust_projects/terminal_renderer/Cargo.toml", "TOML", 8, 0, 0, -1, 7
"/home/rasmus/rust_projects/terminal_renderer/src/app.rs", "Rust", 0, 0, 19, 5, 24
"/home/rasmus/rust_projects/terminal_renderer/src/fun.rs", "Rust", 0, 145, 16, 32, 193
"/home/rasmus/rust_projects/terminal_renderer/src/lib.rs", "Rust", 0, 107, 59, 39, 205
"/home/rasmus/rust_projects/terminal_renderer/src/main.rs", "Rust", 0, -11, 59, 12, 60
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/ansi_term.rs", "Rust", 0, -211, 0, -15, -226
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/ansi_term/mod.rs", "Rust", 0, 8, 0, 3, 11
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/ansi_term/private/cursor.rs", "Rust", 0, 82, 57, 22, 161
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/ansi_term/private/format.rs", "Rust", 0, 114, 0, 17, 131
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/ansi_term/private/line.rs", "Rust", 0, 10, 12, 4, 26
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/ansi_term/private/mod.rs", "Rust", 0, 21, 5, 6, 32
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/ansi_term/private/screen.rs", "Rust", 0, 41, 43, 11, 95
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/ansi_term_old.rs", "Rust", 0, 211, 0, 15, 226
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/events.rs", "Rust", 0, 48, 1, 12, 61
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/flags.rs", "Rust", 0, 47, 0, 13, 60
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/input/mod.rs", "Rust", 0, -30, 131, 19, 120
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/input/string_editor.rs", "Rust", 0, -8, 13, 1, 6
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/linear_ui/implementations.rs", "Rust", 0, 8, 0, 2, 10
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/linear_ui/mod.rs", "Rust", 0, 273, 34, 73, 380
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/linear_ui/widgets.rs", "Rust", 0, 200, 1, 27, 228
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/macros.rs", "Rust", 0, -8, 8, -1, -1
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/math/general.rs", "Rust", 0, 331, 284, 79, 694
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/math/matrix.rs", "Rust", 0, 372, 287, 60, 719
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/math/mod.rs", "Rust", 0, 13, 10, 8, 31
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/math/vec.rs", "Rust", 0, 385, 0, 55, 440
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/math/vec/vec_ops.rs", "Rust", 0, 294, 0, 36, 330
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/mod.rs", "Rust", 0, 6, 0, 0, 6
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/referenceable_vec.rs", "Rust", 0, 35, 27, 10, 72
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/renderable/implementations.rs", "Rust", 0, -8, 0, -2, -10
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/renderable/mod.rs", "Rust", 0, -289, 0, -71, -360
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/renderable/widgets.rs", "Rust", 0, -199, 0, -27, -226
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/ui/app.rs", "Rust", 0, 0, 4, 2, 6
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/ui/gui.rs", "Rust", 0, 79, 11, 29, 119
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/ui/input_manager.rs", "Rust", 0, 41, 5, 11, 57
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/ui/mod.rs", "Rust", 0, 69, 27, 17, 113
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/ui/panel.rs", "Rust", 0, 66, 5, 18, 89
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/ui/render.rs", "Rust", 0, 31, 13, 13, 57
"/home/rasmus/rust_projects/terminal_renderer/src/rasmus_lib/utils.rs", "Rust", 0, 280, 130, 83, 493
"/home/rasmus/rust_projects/terminal_renderer/src/render_3d/buffer.rs", "Rust", 0, 62, 10, 17, 89
"/home/rasmus/rust_projects/terminal_renderer/src/render_3d/camera.rs", "Rust", 0, 98, 5, 23, 126
"/home/rasmus/rust_projects/terminal_renderer/src/render_3d/color.rs", "Rust", 0, 172, 27, 43, 242
"/home/rasmus/rust_projects/terminal_renderer/src/render_3d/color/color_ops.rs", "Rust", 0, 147, 0, 15, 162
"/home/rasmus/rust_projects/terminal_renderer/src/render_3d/drawers.rs", "Rust", 0, 181, 99, 79, 359
"/home/rasmus/rust_projects/terminal_renderer/src/render_3d/mesh_loader.rs", "Rust", 0, 237, 4, 46, 287
"/home/rasmus/rust_projects/terminal_renderer/src/render_3d/mod.rs", "Rust", 0, 248, 8, 46, 302
"/home/rasmus/rust_projects/terminal_renderer/src/render_3d/panel.rs", "Rust", 0, 75, 2, 19, 96
"/home/rasmus/rust_projects/terminal_renderer/src/render_3d/quaternion.rs", "Rust", 0, 314, 78, 75, 467
"/home/rasmus/rust_projects/terminal_renderer/src/render_3d/renderer.rs", "Rust", 0, 180, 45, 44, 269
"/home/rasmus/rust_projects/terminal_renderer/src/render_3d/scene.rs", "Rust", 0, 58, 0, 15, 73
"/home/rasmus/rust_projects/terminal_renderer/src/render_3d/shader.rs", "Rust", 0, 31, 5, 15, 51
"/home/rasmus/rust_projects/terminal_renderer/src/render_3d/transform.rs", "Rust", 0, 109, 16, 32, 157
"/home/rasmus/rust_projects/terminal_renderer/src/test_data.rs", "Rust", 0, 56, 23, 9, 88
"Total", "-", 8, 4521, 1583, 1095, 7207